"feature","frequency","rank","docfreq","group"
"government",7438,1,239,"all"
"states",6926,2,240,"all"
"congress",5783,3,239,"all"
"united",5169,4,238,"all"
"can",4836,5,239,"all"
"year",4608,6,235,"all"
"people",4268,7,231,"all"
"upon",4226,8,199,"all"
"$",4186,9,200,"all"
"country",3602,10,237,"all"
"may",3594,11,229,"all"
"must",3594,11,230,"all"
"new",3552,13,233,"all"
"now",3519,14,237,"all"
"great",3460,15,237,"all"
"made",3458,16,235,"all"
"public",3398,17,230,"all"
"time",3106,18,238,"all"
"last",3023,19,232,"all"
"one",2991,20,236,"all"
"war",2905,21,231,"all"
"american",2893,22,222,"all"
"years",2682,23,218,"all"
"us",2677,24,230,"all"
"world",2579,25,212,"all"
"national",2454,26,232,"all"
"every",2373,27,239,"all"
"state",2330,28,236,"all"
"law",2277,29,215,"all"
"present",2241,30,211,"all"
"also",2213,31,235,"all"
"work",2140,32,205,"all"
"act",2129,33,224,"all"
"make",2087,34,222,"all"
"power",2060,35,226,"all"
"shall",2044,36,188,"all"
"peace",2005,37,230,"all"
"many",1981,38,228,"all"
"nations",1956,39,234,"all"
"system",1952,40,224,"all"
"nation",1941,41,235,"all"
"federal",1930,42,179,"all"
"without",1882,43,232,"all"
"service",1859,44,212,"all"
"citizens",1812,45,224,"all"
"part",1770,46,227,"all"
"foreign",1711,47,209,"all"
"first",1695,48,229,"all"
"legislation",1663,49,187,"all"
"necessary",1662,50,214,"all"
"general",1659,51,194,"all"
"two",1637,52,222,"all"
"department",1610,53,170,"all"
"america",1594,54,184,"all"
"policy",1569,55,218,"all"
"subject",1530,56,173,"all"
"much",1521,57,228,"all"
"good",1515,58,230,"all"
"well",1508,59,231,"all"
"increase",1476,60,208,"all"
"laws",1461,61,206,"all"
"interest",1457,62,213,"all"
"important",1428,63,219,"all"
"business",1350,64,192,"all"
"within",1321,65,213,"all"
"treaty",1312,66,160,"all"
"men",1311,67,208,"all"
"trade",1296,68,204,"all"
"just",1295,69,220,"all"
"administration",1277,70,180,"all"
"free",1268,71,211,"all"
"need",1246,72,186,"all"
"action",1246,72,203,"all"
"rights",1236,74,212,"all"
"economic",1236,74,131,"all"
"right",1232,76,210,"all"
"attention",1228,77,177,"all"
"interests",1220,78,194,"all"
"duty",1217,79,193,"all"
"report",1210,80,179,"all"
"security",1209,81,204,"all"
"large",1209,81,185,"all"
"military",1207,83,210,"all"
"treasury",1201,84,157,"all"
"progress",1164,85,220,"all"
"union",1162,86,210,"all"
"secretary",1162,86,155,"all"
"means",1153,88,220,"all"
"future",1149,89,214,"all"
"still",1147,90,225,"all"
"commerce",1142,91,167,"all"
"program",1141,92,109,"all"
"countries",1131,93,189,"all"
"continue",1119,94,205,"all"
"since",1109,95,218,"all"
"far",1105,96,219,"all"
"past",1104,97,196,"all"
"way",1078,98,203,"all"
"purpose",1075,99,198,"all"
"consideration",1070,100,163,"all"
